source_id,relationship,target_id,confidence,evidence,review_status
BLK-00003,CONNECTED_TO,BLK-00008,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00004,CONNECTED_TO,BLK-00008,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00005,CONNECTED_TO,BLK-00023,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00005,CONNECTED_TO,BLK-00023,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00008,CONNECTED_TO,BLK-00012,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00010,CONNECTED_TO,BLK-00012,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00010,CONNECTED_TO,BLK-00014,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00010,CONNECTED_TO,BLK-00016,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00010,CONNECTED_TO,BLK-00023,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00012,CONNECTED_TO,BLK-00014,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00012,CONNECTED_TO,BLK-00016,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00012,CONNECTED_TO,BLK-00023,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00014,CONNECTED_TO,BLK-00016,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00014,CONNECTED_TO,BLK-00023,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00016,CONNECTED_TO,BLK-00023,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00012,CONNECTED_TO,BLK-00014,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00012,CONNECTED_TO,BLK-00016,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00014,CONNECTED_TO,BLK-00016,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00014,CONNECTED_TO,BLK-00016,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00014,CONNECTED_TO,BLK-00017,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
BLK-00016,CONNECTED_TO,BLK-00017,0.55,DXF line-component proximity,REVIEW_CONNECTIVITY
